Results for new alamar blue(1) - channel 1 (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
E,188220,124632,47349,52901,163966,104537,151236,206521,128261,58045,88606,102501,104382,164587,160669,126923,131016,158951,107079,119098,99961,127216,127636,382705,
F,321627,100265,118690,131829,170360,99681,134967,78153,77979,90737,138628,112727,196476,84811,129335,113956,125105,103105,118678,109517,107427,156115,132895,161557,
G,307269,138689,42195,54041,105699,100143,95910,108829,127053,53273,46184,110765,96427,134278,106427,106688,98335,126258,151427,117719,113374,114783,112760,294247,
H,365345,52104,114278,93193,126558,77867,83771,87188,122129,103993,148391,116020,122163,68663,91322,71931,93165,100565,106010,104178,99911,90885,90649,159532,
I,319119,114575,42342,55794,105490,106025,101206,111247,89885,61111,57858,129106,144811,133525,117709,106290,99286,119139,103643,121166,106071,126392,100181,284347,
J,164220,123114,127613,98201,101285,115401,125997,67704,60920,82075,109580,110032,106752,113269,113842,113127,189105,91907,97139,94628,68098,90370,127543,150485,
K,190515,113336,38489,53418,107029,92207,101088,99587,138768,56113,55463,125260,103372,117417,109162,159336,128690,119623,120329,153996,125483,186972,183883,256077,
L,249892,63523,129950,113554,107426,106585,119227,101362,99851,97722,65820,117250,36556,58025,115348,67845,126500,211226,179991,111380,131116,136620,96360,442025,
M,232012,141701,43432,52992,126439,94687,118476,89755,94145,55006,71541,107000,113575,125142,120997,131206,152482,125808,140449,107337,110195,105507,213747,351339,
N,395282,140781,132837,117663,144421,111111,121376,99450,82177,125266,116495,98839,92636,140343,106387,96776,96248,42073,116338,107040,109062,101796,192882,281623,
O,346121,180287,124459,151712,169600,130798,96417,156422,165638,179953,119207,179885,166972,132226,143976,236476,180690,193786,136163,174951,125687,152343,171008,336108,
P,317111,218376,233249,274478,234079,250447,327558,265295,325679,337022,296970,269668,272196,331519,402138,318410,337560,451782,347513,318966,233129,281981,498639,380338,

Plate information 
Plate,Repeat,Barcode,Measured height,Inside temperature at start,Inside temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
3,1,,14.68,23.15,23.15,54,54,23.15,23.15,1,new alamar blue(1),0,0,De=1st Ex=Top Em=Top Wdw=N/A (14),0,5/2/2022 10:49:44 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
3,new alamar blue,0,1564,1,00:00:00.000,De=1st Ex=Top Em=Top Wdw=N/A (14),

Results for new alamar blue(1) - channel 1 (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,382393,340993,158407,235149,342265,369660,378911,358946,82336,158358,242268,320342,288312,392578,226567,137629,306090,211053,238265,359602,310527,147761,367847,421381,
B,226679,199399,158357,63640,144822,81266,55588,101238,85517,86249,63716,87098,161665,76679,94295,97347,104619,129180,111953,131476,80008,83614,185440,420772,
C,120377,104124,42106,49302,69877,72155,126088,77021,107766,52283,49670,129349,80606,108667,82495,99494,97761,105266,91243,102244,90046,110041,140506,212220,
D,140366,78298,102815,87636,106611,92237,79733,60469,85941,93038,80970,59147,102374,84050,101517,51256,105026,100279,86123,78897,63510,69929,153654,263701,
E,282301,85067,49537,53884,80529,98778,84357,87263,86753,56195,57329,128682,116277,96795,91699,88177,89193,94354,98226,89496,95357,100575,98003,198951,
F,193393,95139,109384,101517,90893,121438,92689,113198,62990,105621,113565,84294,90100,59706,94797,80322,112074,88553,113151,97505,103629,106902,165019,317492,
G,259316,112390,61008,71843,99411,89023,86902,97846,91090,54976,46340,87373,111271,102643,102269,110646,108804,105763,86117,96905,103862,95274,125991,242101,
H,96364,61776,85092,101327,100659,87661,81603,116163,101717,119763,111431,90135,106710,68641,111301,87173,116809,105238,96041,116167,90878,100681,93280,177820,
I,187965,118626,53628,90569,75605,101949,93244,94985,86631,71189,59887,94824,118443,96173,103307,102888,111539,102500,94044,110149,109878,101728,99269,255246,
J,89345,107438,119280,78790,70529,92981,118994,69328,76167,116945,137751,96868,93135,119906,110693,109359,99859,122745,117023,105978,63460,97038,90342,140919,
K,289007,178098,70920,66724,98844,138480,106876,140576,122387,60560,51330,114388,117263,118790,107492,115648,103094,115665,106724,121891,141376,138731,123541,220831,
L,157814,58421,131889,118920,154985,118509,138392,107901,132961,109376,91723,141381,35990,102779,135143,76000,148181,122513,123837,139146,81178,89261,88240,136433,
M,174492,122016,49366,62091,99176,147270,128747,123699,108035,77893,54229,91125,157025,123690,133404,142267,127387,121315,118399,113913,107730,98312,108949,213062,
N,270738,89460,95805,136790,109233,155251,121419,115427,120390,135415,121585,142427,111516,112119,120285,130797,143931,42963,106854,107843,99407,103435,108594,312007,
O,241218,170396,125852,180130,135242,131138,182527,146907,120381,115998,111965,169844,154571,195935,215015,162546,208713,220793,127166,140524,140756,165742,174867,244377,
P,325380,195051,155369,199267,237579,265325,286848,303610,294495,322990,319157,314734,372270,231095,345882,289559,333591,267413,253731,277927,241438,186207,376908,391029,

Plate information 
Plate,Repeat,Barcode,Measured height,Inside temperature at start,Inside temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
4,1,,14.68,23.15,23.17,53.8,54,23.25,23.17,1,new alamar blue(1),0,0,De=1st Ex=Top Em=Top Wdw=N/A (14),0,5/2/2022 10:50:57 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
4,new alamar blue,0,1434,1,00:00:00.000,De=1st Ex=Top Em=Top Wdw=N/A (14),

Results for new alamar blue(1) - channel 1 (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,404213,392323,331411,118358,403144,425259,379934,201039,372156,371715,426806,381441,149250,185157,279694,294732,250972,424653,375947,403041,406477,206153,178389,444013,
B,277702,269343,241542,114408,200359,98981,81839,160019,134988,95779,81441,80476,219955,126389,80690,82854,129875,75634,128776,126530,160672,173346,318391,191447,
C,277260,123137,62659,71805,121567,165994,151023,116642,94849,57766,63512,120251,110365,121527,100327,83869,97862,98049,105270,92892,109747,123857,170237,344656,
D,179057,105198,156287,141993,161616,144815,107049,71485,90647,103736,169191,88815,123915,105761,130105,53073,99910,94690,94482,85177,75186,77004,159112,240362,
E,254461,240730,82455,59339,130883,141831,153848,175322,109172,93852,65628,174306,126442,148797,102620,101634,96239,101419,81138,119640,97418,99918,169619,150952,
F,303735,123167,162610,117225,135051,145133,161895,141711,80664,137972,162381,144365,152106,80147,128234,124371,109713,99778,96336,84547,89716,116690,160148,382086,
G,319263,196842,88858,88310,121194,135739,134636,191200,162020,70997,67134,171015,134017,121047,94345,118388,88248,95574,86363,89526,99013,111901,119999,207556,
H,231728,46497,182520,141724,196385,85836,102957,118118,98126,154685,127377,122878,168919,73308,87087,80518,96551,113966,91454,92139,100045,107165,125283,193720,
I,301746,136054,76413,127303,104281,120512,113149,109441,105755,77792,73116,103676,122799,106724,127027,95001,104625,91626,91928,93820,88463,121619,105619,236128,
J,60115,127162,176550,133612,186238,122589,124870,62411,69971,119416,112796,123281,111242,130490,133200,140251,102224,83420,99790,96353,70715,90748,108292,144896,
K,309561,211544,92001,62860,189891,120829,190525,143589,167481,82134,95974,127610,108985,149000,119511,134639,111754,146589,135113,116837,130090,108706,117952,351274,
L,331119,55772,187860,141005,150303,105966,198031,155710,160655,131614,76592,153501,37730,58592,167305,114225,133465,115058,104424,107345,96265,123303,93683,297170,
M,316271,204340,77079,74654,175416,124932,143546,125858,107948,81451,81751,132021,105018,123918,154805,141868,108210,127275,92857,121440,116858,109179,133830,290196,
N,234048,210739,155124,205319,182916,131566,167138,178598,119133,131282,137621,161952,112292,144049,126255,109499,113328,42731,124954,95468,117804,97435,205392,299680,
O,333006,213332,154249,146403,135573,120554,91022,116947,88596,149608,179815,208450,166628,103407,120997,219927,130860,201858,131887,185469,185248,141037,222384,262899,
P,370410,280881,268725,280673,262122,244792,275927,203940,223740,265935,341900,197540,285436,349064,269408,260351,254671,317471,257326,305858,312232,275478,273174,312860,

Plate information 
Plate,Repeat,Barcode,Measured height,Inside temperature at start,Inside temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
5,1,,14.68,23.15,23.27,54.1,54,22.95,23.17,1,new alamar blue(1),0,0,De=1st Ex=Top Em=Top Wdw=N/A (14),0,5/2/2022 10:52:08 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
5,new alamar blue,0,1366,1,00:00:00.000,De=1st Ex=Top Em=Top Wdw=N/A (14),

Results for new alamar blue(1) - channel 1 (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,462911,412397,333035,435973,347575,419691,402818,413914,145736,286201,162413,450009,396914,400314,408471,419399,407279,103491,169231,517879,196772,435314,202610,419789,
B,350048,161413,181563,93098,114303,201886,124072,89077,87355,115425,76521,133203,155727,215803,104240,149015,111943,108782,100856,106434,181344,207737,125445,240868,
C,222792,209367,106433,51405,86380,76413,112183,97927,90087,56678,55038,84838,108366,98993,187832,103807,82920,96480,96544,88716,98218,162908,232456,336897,
D,399343,138266,97955,98855,83803,78447,94212,55009,95828,102407,114047,67966,126409,63614,86919,51162,82794,86544,80246,88591,52900,101709,244867,451493,
E,408705,284233,57622,53499,80223,82413,89589,90517,79636,66317,65833,103238,87510,98371,83083,91377,83950,84906,87818,102489,85681,102035,181966,426836,
F,306413,191574,95623,107619,90210,75562,98653,92138,46410,74703,107606,92299,101023,36983,103037,78698,92038,92584,98285,78310,78869,102332,257226,533586,
G,383771,211811,52555,47632,82084,84553,89115,86633,88361,55705,53223,109343,91938,87044,95506,95375,86270,106996,87391,95940,110170,112742,192176,394281,
H,224747,62138,75946,83497,98591,53279,76153,84799,88951,80171,99970,101883,88452,59421,80769,76179,96526,97884,100269,83051,95636,95518,117255,334495,
I,399829,88646,49987,46168,83762,77533,88880,81805,99634,52689,54581,79810,100572,73161,89641,85747,87361,105951,82745,83686,101464,131180,139891,260344,
J,86224,88030,98769,81191,88627,75200,82473,55655,61234,83918,93466,82638,105462,98647,117508,94904,103180,95621,94297,94429,68803,92733,90623,199454,
K,408353,181622,70188,60449,111249,89269,97713,83593,90618,54359,61852,116227,92742,109412,106562,147045,106377,106959,110306,112859,106084,120128,196281,206976,
L,327615,46846,104480,104692,87061,71804,86800,81594,111237,104688,53793,86625,36199,53849,125146,62943,191165,105060,110192,85819,74748,100995,93138,198333,
M,382138,124019,62485,52109,84328,82642,84445,96190,76657,53609,66748,109931,100965,95498,88452,119512,79281,106757,81397,99916,142091,95935,87256,205832,
N,241561,92800,98878,81512,104838,71786,91747,79994,76428,89101,95328,83541,125917,100597,95555,109120,114852,43064,100352,85076,93196,62834,134915,308005,
O,200513,108604,124963,107721,118166,116854,106764,91501,97400,99220,142573,123608,180280,143831,167346,216420,139726,115585,91445,115388,107860,115123,151203,195519,
P,331847,215605,178564,146537,206359,185813,316344,238688,277617,243272,348827,338443,270221,308595,323202,211852,381591,167197,317249,249560,293492,262054,274626,380813,

Plate information 
Plate,Repeat,Barcode,Measured height,Inside temperature at start,Inside temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
6,1,,14.68,23.25,23.25,53.8,53.8,23.25,23.15,1,new alamar blue(1),0,0,De=1st Ex=Top Em=Top Wdw=N/A (14),0,5/2/2022 10:53:17 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
6,new alamar blue,0,1598,1,00:00:00.000,De=1st Ex=Top Em=Top Wdw=N/A (14),

Results for new alamar blue(1) - channel 1 (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,115228,103820,100457,79848,76128,74802,95234,98040,100763,83854,89233,89554,91472,94938,94802,93040,94035,95440,85651,95743,92301,80783,80352,117357,
B,140685,81734,83978,71605,70580,61702,43416,72144,81445,81055,60575,56895,82686,81230,82886,80400,83192,93273,66420,83900,79114,70288,77996,102260,
C,114448,83904,44105,38016,78236,77275,93391,90393,71724,53109,39170,89310,87257,83098,81372,87912,81107,76790,75356,84075,78689,83168,93584,146049,
D,126674,90577,81929,99874,66799,63311,75313,43226,82268,111447,89141,65777,80332,66136,97987,45716,85691,80159,89063,64700,80917,76250,84737,100538,
E,130543,82464,41789,37973,68150,78544,75193,81080,80234,48836,40465,95386,84838,102652,93790,95243,87862,86271,76163,86340,80943,88836,77148,116477,
F,135552,88208,87417,69641,95119,81057,88176,82142,54263,56473,106667,80997,98119,36276,90571,78253,101361,110844,94453,82591,86245,70966,90946,106294,
G,100134,86894,45273,40023,75080,80520,81706,84084,80695,48327,39705,96310,90758,109556,96208,82438,98858,88062,93239,87313,75847,97713,97098,136884,
H,90384,51678,70197,76910,63792,72352,61014,75838,91900,88063,95405,91280,54098,53645,86687,67917,87436,91604,83144,83369,62934,96422,70210,121029,
I,117061,90467,41758,40040,73997,90173,80432,85095,88578,51501,39285,89532,88735,128710,85978,96181,100089,96456,86119,84471,74298,86349,87865,155518,
J,48286,71623,90343,79234,67080,78410,98210,51346,57322,74276,108610,84472,92678,99902,98993,87165,84893,87102,85120,84760,75888,83148,115724,68380,
K,171821,130924,54501,39956,93543,99738,88296,129749,95324,57514,38283,107777,98876,86597,132327,107665,87175,104594,99269,86840,98260,86743,95027,153540,
L,115912,48024,103176,92285,88232,102527,150925,83869,118531,100027,62814,114786,36863,57694,115914,72263,112463,101170,91904,99882,72493,93442,61627,101630,
M,99365,81505,46823,36372,82895,95873,85247,92500,84713,48540,38560,82824,92069,81690,86305,106562,104081,98188,85853,94026,96693,130734,113969,244523,
N,95032,93220,87902,88722,75697,107363,86978,110800,101044,94413,103635,68587,65614,88953,91956,105544,88046,37649,110306,75882,99291,90785,162446,237459,
O,134119,105128,93473,109274,83935,100943,101217,113803,91399,112029,97610,110559,105082,123900,111958,101189,106459,103297,114729,138277,103322,91750,159599,182477,
P,134242,104151,99105,91281,111889,127875,120155,123095,111674,119142,151552,119056,145182,94356,147567,116840,115020,144058,132997,155351,137414,164014,184685,253172,

Plate information 
Plate,Repeat,Barcode,Measured height,Inside temperature at start,Inside temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
7,1,,14.73,23.25,23.25,54.4,54.4,22.57,22.86,1,new alamar blue(1),0,0,De=1st Ex=Top Em=Top Wdw=N/A (14),0,5/2/2022 10:56:00 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
7,new alamar blue,0,1406,1,00:00:00.000,De=1st Ex=Top Em=Top Wdw=N/A (14),

Results for new alamar blue(1) - channel 1 (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,311616,121915,130436,111743,93056,92700,79471,87328,79509,91854,85884,94551,90894,96481,100340,99386,105083,114846,101143,91970,95395,147193,112622,133973,
B,99972,85066,78761,103067,78186,73232,45384,69728,74747,77639,67058,63752,90472,83725,79427,72482,84203,75781,72319,74679,80876,73620,89078,115660,
C,114708,105887,48744,38621,72535,77158,77793,93074,80438,45063,40510,97309,83361,84789,81132,85065,89588,89785,82764,85190,73331,83796,87678,144235,
D,150916,92862,79981,81191,62332,75718,80034,44215,90665,81001,91774,101309,103292,67381,93036,44218,75981,84326,79238,58863,96946,84816,89263,111582,
E,148324,108663,45800,41557,93049,97438,90561,97810,85330,68102,39854,80346,83276,84588,88835,89816,81146,96090,82154,81338,103911,108634,92155,139299,
F,191125,103062,114003,96919,133570,70606,121991,85316,52976,73232,131087,99360,108621,37315,85578,74806,100410,83722,89474,83314,90743,82570,104429,134568,
G,121397,93758,45171,39605,81896,97129,87767,100896,103111,53271,40226,117516,127084,90792,108830,105876,90637,98510,92714,101224,90198,94743,95454,124404,
H,122563,44485,80528,103979,93793,79253,83151,88841,98255,115052,102718,116121,61130,58548,100044,67499,94671,89785,94442,83047,70520,84321,72754,142166,
I,101974,86919,46895,38675,84543,97908,98072,107298,89579,47631,40270,115595,118786,113867,122064,102119,98415,112166,90189,86994,88605,87807,98133,123777,
J,72253,79418,104584,92817,79289,94598,98659,49538,84474,108398,109566,96967,88248,117678,116692,108056,108459,100930,90251,95160,79886,90949,93935,83101,
K,129600,97719,57441,39364,93787,88327,107177,106202,88757,53862,39808,109867,89313,92909,92228,105856,115813,110157,101096,106588,96628,104702,108578,139739,
L,130997,46658,95818,96301,103815,81613,102504,119542,80911,96796,52605,103911,37829,67709,114320,58202,112974,125287,102958,97151,81164,95662,71553,107137,
M,156910,87296,47891,37261,87340,103695,98500,85694,98938,49739,42350,112616,101581,99407,110328,100718,97912,98682,87989,108889,92946,99566,118570,124364,
N,124268,127279,86244,92989,96366,96910,100621,108871,117913,87099,109869,107303,76081,96439,90232,93018,96119,37696,90954,95213,76481,93554,139400,158471,
O,157924,101099,93692,96006,122762,85102,83647,96451,86987,102668,95480,125595,118480,135139,115328,105779,101324,110294,91130,94522,99598,119735,96785,173350,
P,180106,121333,141125,113521,110275,114263,137003,133551,152261,188798,154110,173458,188655,93003,142962,144177,144900,132107,111745,129459,173597,134216,143892,240889,

Plate information 
Plate,Repeat,Barcode,Measured height,Inside temperature at start,Inside temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
8,1,,14.68,23.25,23.25,54.1,54.4,23.05,22.95,1,new alamar blue(1),0,0,De=1st Ex=Top Em=Top Wdw=N/A (14),0,5/2/2022 10:57:05 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
8,new alamar blue,0,1430,1,00:00:00.000,De=1st Ex=Top Em=Top Wdw=N/A (14),

Results for new alamar blue(1) - channel 1 (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,263223,109975,121576,140137,202120,223107,143419,204269,97524,97626,229188,122403,192990,136392,142555,138555,101139,135780,88903,172677,126598,191351,132136,362294,
B,121436,77098,74742,72569,80740,79824,44379,92018,78836,82897,64002,53344,80315,85242,93555,79149,80149,79145,68591,76852,104675,77130,77177,102121,
C,104600,73609,43462,39728,74658,87790,82515,76286,94797,41516,39196,73198,84631,131900,97766,80979,77278,84958,83317,90116,87733,77869,82810,113176,
D,100814,92480,76606,75024,62203,63090,74117,41962,91941,80368,119272,58480,89649,84537,95052,41868,89949,96271,87486,74363,89073,84593,84017,116099,
E,110686,75050,43667,38679,74284,89342,81570,100131,82770,45328,38998,88246,83095,101401,128661,106083,97709,93287,80134,98622,78056,90231,85163,224102,
F,110616,76002,88115,87531,78380,75531,83771,70904,51538,69514,98476,89144,86201,38166,108315,94386,102877,97772,104133,92164,110109,70585,93966,118360,
G,134878,85461,44653,41006,91602,102652,80092,76288,98789,39747,39965,104209,81686,93583,97688,92058,101680,92522,90989,102034,87670,93778,129644,151453,
H,75464,41809,72399,82734,65414,78982,70126,83792,85102,76062,94518,98755,57853,54922,101871,62287,93426,94463,106282,78985,71042,88565,75955,143926,
I,141466,80429,46217,39524,92707,89301,91193,85686,87934,49825,38714,125114,132344,96678,96209,97190,98074,98409,84745,102405,91838,88547,95198,119460,
J,39259,59156,79048,82882,64589,81159,104250,48510,69894,80624,97069,98206,81310,91632,99980,96012,95039,90798,93045,90744,87419,93902,111554,74956,
K,96681,105905,49278,37793,103212,113484,114995,127030,121011,56227,40191,93958,136263,116545,94083,104451,100857,117276,121602,167829,120706,113326,160500,214847,
L,111406,37054,78151,96321,97233,101543,71809,89595,108002,112214,57155,101136,37208,70764,116807,70294,137200,115953,126469,107797,84456,94489,67498,155422,
M,217216,88332,51687,38415,98958,81746,90522,95941,85901,50903,39206,91802,91751,98078,102001,99720,118000,133207,87111,85735,90489,94607,128759,163241,
N,181353,83273,89567,81326,80825,99552,89049,83806,92973,92916,95904,76284,69172,101745,100312,98847,108316,37564,107772,81555,86102,89764,122934,151283,
O,190516,113337,99152,194315,101670,107549,104223,108367,110967,91736,89909,112055,106860,97360,111098,122618,118451,114656,92560,98572,107215,143368,139892,193010,
P,202636,121962,175300,98510,143726,104451,145912,173859,182632,117214,156233,163611,130907,103421,137939,150494,180208,144482,202346,134782,166216,126905,158493,308235,

Plate information 
