Results for new alamar blue(1) - channel 1 (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
2,1,,14.68,23.73,23.73,53.8,54,23.44,23.34,1,new alamar blue(1),0,0,De=1st Ex=Top Em=Top Wdw=N/A (14),0,5/2/2022 12:05:03 PM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
2,new alamar blue,0,1559,1,00:00:00.000,De=1st Ex=Top Em=Top Wdw=N/A (14),

Results for new alamar blue(1) - channel 1 (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,684252,691064,683732,691588,684775,686351,680594,676921,684253,684256,695768,677450,686353,682679,689494,682162,683209,694725,682681,680071,682685,691573,695249,682159,
B,688973,683731,685316,676928,692104,681632,408443,690023,639766,682688,408429,672988,693156,687917,653783,667410,453040,407985,618856,688972,684256,680070,688972,682688,
C,684251,677446,99356,170507,459412,528396,508186,395147,596684,211128,337208,416823,679249,683730,545253,401362,603399,481383,385389,423183,634764,641378,693153,679022,
D,684252,650384,648214,489194,514078,368501,412778,340178,406678,575485,577441,480342,626253,484301,416975,244659,448925,373875,403660,351873,380861,570164,695251,693670,
E,685300,682687,169313,161074,688965,415622,612193,666268,577538,195136,277480,350845,485367,628712,625357,437875,452356,685830,420948,520152,497837,686868,691580,693685,
F,679018,605377,549740,532316,684612,362797,461575,282751,266542,299009,452322,459111,624356,295915,447346,407806,399164,403916,438890,475419,478183,684782,687918,687398,
G,687392,623370,115462,195072,424354,310932,335123,391159,421807,145530,114133,324943,327103,492319,322286,329768,316299,490171,374859,503620,443422,666964,684258,696293,
H,698393,184215,620529,342791,602634,259377,257134,265765,609618,315740,439606,374296,387508,225216,267461,215814,290270,318076,484489,346485,385196,408746,481726,686867,
I,691056,592014,107361,217018,354839,516052,318745,353108,276594,190319,166310,363747,596950,387520,359666,318262,296798,352346,331889,456993,356420,674991,458989,683736,
J,516249,532257,469829,318802,311009,442910,372339,188310,186937,254212,334891,330993,355481,432128,339264,358677,602618,260215,310771,352910,223681,329537,593084,571884,
K,686353,656275,87679,169292,560931,286756,375613,524019,388495,162559,160418,605854,634470,442101,400091,614708,492853,383565,354759,683735,639915,687921,686347,684249,
L,676929,250752,580778,391672,421236,353789,345156,425516,345538,298754,198716,331936,37589,168143,613986,233683,615230,690534,637504,332169,361131,573381,389496,684775,
M,687918,650492,95861,172794,666860,445630,376421,314431,348974,179533,263423,538733,605075,601533,607798,471874,581924,417290,610152,401288,462794,360137,686867,688443,
N,682688,655865,638523,369667,525391,534498,345838,398363,267939,571956,575127,378469,356401,664330,594931,318169,301278,72891,455003,550694,583967,475517,686866,692107,
O,687387,640046,471280,673006,695770,624813,557199,688964,684258,684252,683207,688966,696302,696304,679021,684256,685306,691059,689686,685308,645388,681953,674304,685836,
P,697869,689496,691062,681106,686347,687397,682688,682245,688972,683731,696822,692638,683727,685311,679022,690016,673785,683211,690036,683736,692105,675879,682164,687392,

Plate information 
Plate,Repeat,Barcode,Measured height,Inside temperature at start,Inside temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
3,1,,14.68,23.73,23.73,53.7,53.5,23.54,23.64,1,new alamar blue(1),0,0,De=1st Ex=Top Em=Top Wdw=N/A (14),0,5/2/2022 12:06:10 PM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
3,new alamar blue,0,1373,1,00:00:00.000,De=1st Ex=Top Em=Top Wdw=N/A (14),

Results for new alamar blue(1) - channel 1 (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,672718,676891,681099,683184,678474,688965,684232,692100,592624,691565,691554,696797,685286,694709,681100,681094,681617,686332,681617,682668,688420,684757,685813,687372,
B,592434,673133,687893,413274,634614,601547,318203,661604,586443,593189,326819,603758,683710,562045,596288,677627,681096,671641,670366,681089,570197,619050,687381,684243,
C,686850,641959,230482,234795,432205,476695,651900,358786,647877,325710,227769,641209,546544,651708,598907,639117,653480,672731,424902,640810,537186,575702,654303,686847,
D,637454,489979,486393,464140,422550,329703,284087,260694,374497,351570,269189,210591,414769,273464,358984,202480,630727,473175,349627,250080,213471,317322,662838,694186,
E,684757,565942,217486,176067,269472,281388,250144,308998,279028,162914,318711,615671,584983,324770,310943,328105,310634,514719,365377,514483,509090,619571,481209,674817,
F,659119,535689,549324,320020,369533,371116,283503,322541,170362,431894,513375,351950,313196,174333,480995,290267,541990,286431,465744,397175,493523,547312,675610,686855,
G,666186,553789,227300,219312,500327,342361,249231,511111,356061,252461,115207,314134,349921,339660,382537,450079,369195,354552,314017,301800,458459,399035,682021,683189,
H,441954,213873,315542,255317,404639,250007,252866,347853,267447,484717,372693,301964,313929,203114,330186,288399,442721,369126,342964,536020,305620,429369,435821,657230,
I,682667,518733,242404,242653,218091,295497,277455,277876,244860,217832,191359,288071,327334,341270,322109,455252,373424,306281,315461,352900,367641,366702,527193,687381,
J,437565,457382,396838,242878,203106,315465,319857,215073,220716,353331,379949,418127,287586,448929,366204,302484,295929,520660,336919,342445,204884,322653,391732,451660,
K,691035,631384,221522,226047,547232,559982,416795,325557,497093,181899,143666,355500,375077,377426,320850,399843,501918,347788,360012,411043,456709,612929,684231,685282,
L,445865,154795,484444,334564,381139,352570,447868,325712,350610,447104,264431,369468,38593,276393,379625,223972,585437,440211,354814,411865,260365,366346,371132,565780,
M,686334,533107,188519,203069,328989,357773,290761,344781,293837,211430,161073,258664,438374,352350,529591,372113,370603,337369,355542,376121,331086,537044,561432,677953,
N,689470,442195,332591,430367,377858,519689,337659,334040,545628,369701,488292,609289,432501,431897,420350,544660,557758,73471,438866,342922,404616,364601,463355,686851,
O,688424,650349,542749,647912,552050,594652,663213,656998,576671,539635,605442,670052,622050,689992,691238,668729,686854,678472,596088,631447,639978,678478,683193,690520,
P,684238,680572,589141,680991,691042,686329,688422,694704,691041,696280,690518,687907,685288,687894,682664,687376,684756,689994,685813,697841,688956,682142,695229,683714,

Plate information 
Plate,Repeat,Barcode,Measured height,Inside temperature at start,Inside temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
4,1,,14.68,23.73,23.73,53.7,53.5,23.54,23.64,1,new alamar blue(1),0,0,De=1st Ex=Top Em=Top Wdw=N/A (14),0,5/2/2022 12:07:18 PM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
4,new alamar blue,0,1550,1,00:00:00.000,De=1st Ex=Top Em=Top Wdw=N/A (14),

Results for new alamar blue(1) - channel 1 (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,688965,690541,679549,672215,691066,687396,683745,684255,690013,673788,700488,693161,688436,686345,692113,691059,698391,693156,681113,677968,684778,689496,682163,691585,
B,691064,632296,686345,479901,682004,440025,343064,646471,656563,603354,397519,344777,683732,684258,436766,606200,687915,511449,685295,684253,680594,683361,679019,675356,
C,682684,618488,309702,305883,572483,645889,588565,529357,402853,223077,301944,608003,592389,468320,383445,371889,520948,447259,647894,454807,636366,602072,684138,685821,
D,603321,416908,570548,424075,459542,459130,335391,226607,352538,342954,521953,287736,374321,417827,458943,159072,436563,355757,363517,459538,240139,293859,634356,690541,
E,681641,692507,270110,200008,395867,410218,468182,524055,381187,320920,225277,560520,391349,473736,310374,300999,344426,336909,257060,510198,395554,384957,679547,684789,
F,644365,418873,541192,311386,366871,368635,440339,371970,212511,353911,481019,427498,402126,217743,383664,414131,363101,323634,329353,259387,303463,527092,695257,687922,
G,685820,617375,274109,246939,327340,356901,327860,408225,359928,219767,182164,377094,323181,327491,275548,320893,268713,261977,260471,272088,277631,404130,617111,695253,
H,596259,96877,559238,385527,436080,236723,277099,299806,269653,355501,362596,330503,367244,218235,245602,218287,296781,454484,277249,323645,358724,577865,559096,662942,
I,696302,511663,240962,335081,298721,341338,250374,300435,262623,214260,190687,300673,304303,311749,320948,270170,267119,252978,241086,278492,270839,378549,378421,682160,
J,135020,425756,471421,336704,414515,322389,318534,154562,189665,301193,284241,314400,274232,310845,344628,340396,271738,213676,283931,257183,198482,304829,407799,452378,
K,690536,679885,316245,251308,572644,318641,520705,329655,469335,226955,257730,338771,314575,364455,388662,381732,358481,418663,541515,324087,475165,435299,584736,682689,
L,672760,130015,529931,359785,540271,314105,483615,397435,411203,332780,198304,385980,37986,147224,447970,298100,370407,323912,310460,485777,361572,544239,440853,681115,
M,689492,563930,181559,198858,455698,297688,337752,328526,290044,213148,225655,339390,278527,333204,385445,353867,269122,381894,273490,354059,364705,325424,616773,684783,
N,676469,589766,421991,525511,416211,360914,467990,459656,349256,369939,389692,447376,324859,422858,352548,321147,313639,67984,388819,273780,499572,390263,675877,696289,
O,683732,685470,611054,562962,505330,545221,331317,588614,456864,560287,640792,662864,586003,411735,576094,677973,650290,588171,622637,559250,532887,595023,627782,683883,
P,693148,695251,682163,682676,687400,686350,679015,634249,652909,687396,682166,667805,681634,685300,688976,693156,677755,688445,697868,690541,681641,691068,696825,686350,

Plate information 
Plate,Repeat,Barcode,Measured height,Inside temperature at start,Inside temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
5,1,,14.68,23.73,23.75,53.5,53.3,23.64,23.75,1,new alamar blue(1),0,0,De=1st Ex=Top Em=Top Wdw=N/A (14),0,5/2/2022 12:08:24 PM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
5,new alamar blue,0,1522,1,00:00:00.000,De=1st Ex=Top Em=Top Wdw=N/A (14),

Results for new alamar blue(1) - channel 1 (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,682167,680590,681638,680599,688981,680074,679553,684790,688452,688449,689494,682166,676929,693152,687405,685833,694737,676216,681638,682692,690543,685308,687923,690549,
B,639196,534017,687923,466538,597388,657512,513902,564958,501564,620444,329075,414453,659025,693694,494845,665808,580548,590040,553535,560097,682170,679018,674303,694212,
C,670649,683739,402906,212456,390085,286533,535761,392638,384982,211732,205363,308413,440608,391822,643911,412177,308778,379119,370114,317080,343255,663189,666986,684789,
D,676930,501523,416988,354476,271343,258108,350440,162155,315331,402126,402560,222701,401309,198845,283303,140683,273752,284522,266755,307903,163245,368891,684789,687402,
E,686870,685826,202869,182003,246177,279768,250875,260445,219951,201109,180506,294715,252780,289632,236368,258823,249833,266388,271015,371156,277349,395310,620659,693165,
F,687923,590914,301108,274803,270957,242435,273193,260639,101682,226231,304170,275651,287961,42713,295116,222875,260609,260852,326928,226707,239363,383464,663962,685303,
G,697866,673230,161871,111581,234451,237005,245390,218288,222794,146689,145391,283628,251795,243468,270442,264415,258404,297868,235862,267008,346675,359580,625956,677460,
H,614087,201821,238177,251853,252246,140159,201909,208046,231696,202511,251119,273408,231291,154109,222429,202549,277082,293623,280895,247385,265123,298660,366671,546112,
I,683735,300507,149933,108134,209383,218135,218031,231551,246369,139118,133266,232695,240423,229310,224140,230597,232537,278413,212103,215703,254992,341486,546134,696831,
J,135513,315112,327374,221232,213799,189722,213098,129465,173715,206602,243292,208254,261796,254508,279181,229644,261944,234668,250187,245537,177920,251427,262074,393367,
K,695779,618927,251456,176528,260063,267501,258300,234886,242857,146096,163077,324676,247320,307252,286006,421767,290428,304941,284034,311144,280457,395156,597912,660108,
L,619430,88943,322538,256814,218626,191122,227519,214750,292338,242674,132877,219659,37261,111621,328263,165790,605703,289494,295625,226254,208787,294777,311053,563615,
M,679549,460522,192326,130684,239321,234623,222744,272834,229104,144198,175222,287519,270238,242819,257906,283418,238579,287769,242403,271011,349839,274117,283220,626788,
N,701014,310647,284002,212128,275558,197838,272302,255385,240401,246506,250166,247404,338440,264412,273850,323761,316408,65260,388301,284097,268013,175410,410120,691059,
O,670230,388041,373747,332917,368746,443170,337400,298299,288304,374245,569743,505862,551534,460045,537806,603824,460384,368728,272811,360156,310163,329013,513371,601405,
P,688451,679108,595185,567317,660237,656121,692644,545177,668091,652472,688451,681641,665629,669218,700487,657362,687401,626058,695255,652541,689500,684781,682685,684785,

Plate information 
Plate,Repeat,Barcode,Measured height,Inside temperature at start,Inside temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
6,1,,14.68,23.83,23.83,53.5,53.2,23.64,23.64,1,new alamar blue(1),0,0,De=1st Ex=Top Em=Top Wdw=N/A (14),0,5/2/2022 12:09:31 PM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
6,new alamar blue,0,1349,1,00:00:00.000,De=1st Ex=Top Em=Top Wdw=N/A (14),

Results for new alamar blue(1) - channel 1 (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,600825,626224,656175,634264,619823,589283,648813,659808,656614,646664,495441,598535,630792,618613,641603,679270,674186,668937,470611,608506,640599,452186,422293,537820,
B,633022,473666,403216,283000,249661,197939,85369,265790,239724,287732,190004,164885,289250,284338,373785,308733,354350,626991,215284,400186,318563,287017,376395,519701,
C,686219,271673,120576,54633,245416,254273,298854,235140,201465,130947,54136,248609,310227,236670,258572,285255,280823,228135,229808,285556,302369,283908,613360,685815,
D,632668,420479,227432,254294,168296,150334,221884,65711,209895,292962,238194,169609,217675,173583,255391,78444,220720,241359,227049,172003,227035,312128,365178,458574,
E,684334,305940,75894,50585,177568,194655,197511,217480,203505,95339,55044,235540,201109,279236,233115,245307,216579,215974,191999,250539,262923,219506,287122,607081,
F,597962,265928,258726,171017,237840,208419,226927,204778,102207,127029,276845,198881,254368,39024,235929,188292,250243,254288,229762,210915,245900,195523,304814,450836,
G,363501,269697,94760,52216,191196,204353,212208,213466,207152,93455,52572,246150,220154,288970,237679,213197,230714,222001,242364,239140,200199,284184,273801,501869,
H,405477,116835,170457,181390,156192,172771,143792,187267,220416,210767,229919,236641,108069,110767,207230,135595,220297,235509,211425,226590,158187,294104,187041,435142,
I,588704,228792,77539,49768,180071,224447,205997,212640,221889,105617,48897,232223,235025,288545,213597,248632,243879,226824,212711,212089,186740,228531,223554,673631,
J,100224,202577,213742,184305,147826,183856,234965,101959,123437,184458,257176,202337,216166,229923,237575,211582,199743,217197,203634,202932,175360,204516,292353,236717,
K,663576,383100,108425,51396,233925,246878,207981,353401,246139,115744,47357,257322,266890,213429,292557,254906,211971,275426,241058,221880,274972,254576,329276,463618,
L,352754,88831,268635,218416,221040,269645,333092,206315,288919,221196,124426,290659,37019,106501,274211,151820,270890,258307,244049,264166,190111,328353,161668,358209,
M,366849,241541,127106,44238,224844,223913,202823,227612,206665,99455,48784,214749,248167,205623,228477,275213,259149,253783,212701,276959,445041,326907,333448,662485,
N,354436,339519,290494,295369,185413,252529,211837,263341,272986,234235,332189,164774,154297,214476,242208,332559,219162,38535,347278,201500,218929,205142,387437,687683,
O,682149,595885,356999,447419,283410,327225,325753,368961,296381,362758,342174,328683,355667,365256,363851,334706,344604,363945,359947,668868,337038,333052,411862,590153,
P,584502,383975,470777,341016,346306,392433,439108,607534,348032,389666,660907,521197,523774,276454,603336,415959,407025,659533,636794,649010,624990,639607,630016,620996,

Plate information 
Plate,Repeat,Barcode,Measured height,Inside temperature at start,Inside temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
7,1,,14.73,23.83,23.83,53.8,53.7,23.34,23.44,1,new alamar blue(1),0,0,De=1st Ex=Top Em=Top Wdw=N/A (14),0,5/2/2022 12:11:44 PM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
7,new alamar blue,0,1427,1,00:00:00.000,De=1st Ex=Top Em=Top Wdw=N/A (14),

Results for new alamar blue(1) - channel 1 (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,674985,656332,659249,638085,645387,638707,603327,651079,639159,647111,602004,693611,660635,625063,668196,684786,683734,664810,680549,437177,649922,681113,663775,608196,
B,654866,369107,273158,536968,316853,512291,88767,231937,278803,285453,234442,236229,545486,314331,278283,245033,320311,286464,265774,306301,412794,298641,482360,672496,
C,449178,422999,150945,55713,222429,259337,253479,346155,231882,79676,56604,282371,257529,257071,229504,283674,311303,286271,263548,251380,214870,278086,296763,638192,
D,628349,259355,255858,269482,170180,225988,215877,69556,251994,231730,237614,344516,293239,174800,255603,66473,191383,237292,233779,146083,310937,260809,284984,629302,
E,654852,541850,94474,66765,257486,250213,231836,255185,204484,122092,52527,232061,207692,252742,233775,225521,203818,249412,200168,200244,265275,301106,289545,635450,
F,640085,307201,313412,242899,322254,191488,298399,223281,102983,177971,309745,239999,268368,39542,233141,188515,256666,206708,224480,210610,236129,234882,479970,642769,
G,421318,299707,91821,55418,207664,229185,207002,238465,237324,102117,52759,276801,276004,243455,244405,255722,226845,243774,227847,252754,225643,236063,285632,399413,
H,431384,78516,211283,254555,229942,200259,189924,202626,226466,256318,231207,249322,130384,115285,237230,147088,231865,221004,231908,201168,172779,216646,207271,559580,
I,340512,229917,81688,49632,218810,229211,229023,248084,224282,97130,51518,260960,269986,258248,260784,227447,223913,264313,212958,209672,216010,218178,297489,376167,
J,176024,194884,248243,221666,184913,221999,221806,86808,180687,237579,236816,212234,210382,257350,265428,239683,239288,224865,216852,226877,190854,230762,244053,258031,
K,577121,326490,119221,54152,232025,221770,267856,255117,229068,110889,51699,272624,221830,229221,231101,256558,285318,270977,248580,267844,258667,295253,320722,534212,
L,385587,83421,252046,265539,254215,203527,229996,252877,202553,228959,107248,237970,38049,137570,298786,129944,280003,292124,262146,248897,226749,279389,202660,426557,
M,388461,226682,97313,45614,223231,252022,242002,199902,222534,98305,56925,243957,235718,232706,266929,232626,246033,241446,214606,264340,229193,250326,306728,368107,
N,409709,316172,221621,222359,212154,223197,227978,270098,251821,212831,265709,267951,167068,229517,221971,245856,241043,39848,224437,231010,199066,209046,325314,533773,
O,444293,270804,273444,240578,317159,235541,218888,265651,230057,291063,282388,307762,279680,335066,287425,266330,281250,272667,235809,237630,283499,321971,273937,648286,
P,510790,344109,378402,314992,325470,342415,373897,373338,391612,489880,434949,415377,497618,261908,459951,389839,411441,434917,320193,360685,562660,437476,432110,599771,

Plate information 
Plate,Repeat,Barcode,Measured height,Inside temperature at start,Inside temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
8,1,,14.68,23.83,23.83,53.8,53.7,23.44,23.44,1,new alamar blue(1),0,0,De=1st Ex=Top Em=Top Wdw=N/A (14),0,5/2/2022 12:12:51 PM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
8,new alamar blue,0,1508,1,00:00:00.000,De=1st Ex=Top Em=Top Wdw=N/A (14),

Results for new alamar blue(1) - channel 1 (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,642275,626259,585201,643299,668980,677829,653589,674047,637440,653841,637702,655867,682671,679574,659764,680578,619279,685287,624238,660167,646707,662222,669752,694195,
B,604957,358824,278156,287692,311986,488125,122135,589944,346572,420528,223515,153690,304688,371779,552672,284891,320974,383359,248178,324692,614320,329189,350655,626516,
C,621761,286494,124813,64250,249671,503803,295699,224587,538510,64264,52804,252848,210823,320330,375000,291175,219435,250919,305744,324208,319617,273309,364243,527532,
D,548152,438247,246356,241393,159619,170289,195018,62105,276102,213548,306943,151116,259816,250277,272854,60583,239934,276819,250873,198511,247019,292125,282861,635171,
E,502424,283671,83088,50145,190115,232703,232770,290266,216341,84355,55309,288601,205756,248342,275490,276957,234748,252880,213778,260622,221257,396941,375192,646590,
F,492324,279043,292821,256432,212492,200718,219659,186139,106731,167498,263044,201765,234944,37350,268080,231950,259648,242807,254960,234506,270450,212145,552275,649961,
G,654714,332533,84189,61205,222566,387106,198444,192554,256297,55632,53308,278290,203341,245810,255108,231933,247392,233601,221954,254490,205994,233819,626020,626836,
H,350483,64056,188216,205606,161896,203600,171622,203333,215285,185519,229590,224344,121531,109905,272076,142087,241164,226350,251982,200787,166158,239527,215158,504027,
I,675284,222584,91098,50133,236935,229341,254375,217425,223430,103119,47605,286298,318726,249020,231004,241331,233726,232481,216235,270530,216241,231642,254956,472418,
J,54664,155079,203300,182376,148115,186368,263608,88833,158051,182921,239622,224145,199733,220562,243686,216057,215745,211984,221851,207308,213197,239544,304545,310271,
K,480410,343713,102961,45939,244911,259486,263387,292041,253808,109304,54707,223314,283936,263804,240528,251975,229310,262838,255488,348990,329781,274264,477681,634972,
L,419543,39720,207814,226616,233771,228032,179624,202710,236796,248488,110757,225048,37586,138178,250249,139745,278508,251758,281856,240185,219857,226405,188564,553687,
M,640345,284390,110079,47551,249248,208992,214555,240376,198024,100660,48953,208139,230898,241603,241126,244569,247028,285763,218020,242161,235158,244177,310066,634028,
N,633017,250058,247308,225025,195130,259041,233053,196694,238384,215907,237394,187686,174527,271647,265009,248528,275908,39779,302621,206739,245200,209336,332396,445114,
O,664893,330511,335180,592949,256883,309578,271463,274671,273580,228011,241156,371915,299772,265583,303154,307080,282670,341458,233569,292925,278202,331632,350941,635984,
P,575516,494642,530741,381766,520704,465687,484494,621620,571171,487921,468760,523447,416555,310644,449330,616605,646113,508806,634542,482476,585462,442210,625806,646410,

Plate information 
