,,PltRpt=1 Group=1 new alamar blue(1) De=1st Ex=Top Em=Top Wdw=N/A (14),
3,I05,354839,
3,I06,516052,
3,I07,318745,
3,I08,353108,
3,I09,276594,
3,I10,190319,
3,I11,166310,
3,I12,363747,
3,I13,596950,
3,I14,387520,
3,I15,359666,
3,I16,318262,
3,I17,296798,
3,I18,352346,
3,I19,331889,
3,I20,456993,
3,I21,356420,
3,I22,674991,
3,I23,458989,
3,I24,683736,
3,J01,516249,
3,J02,532257,
3,J03,469829,
3,J04,318802,
3,J05,311009,
3,J06,442910,
3,J07,372339,
3,J08,188310,
3,J09,186937,
3,J10,254212,
3,J11,334891,
3,J12,330993,
3,J13,355481,
3,J14,432128,
3,J15,339264,
3,J16,358677,
3,J17,602618,
3,J18,260215,
3,J19,310771,
3,J20,352910,
3,J21,223681,
3,J22,329537,
3,J23,593084,
3,J24,571884,
3,K01,686353,
3,K02,656275,
3,K03,87679,
3,K04,169292,
3,K05,560931,
3,K06,286756,
3,K07,375613,
3,K08,524019,
3,K09,388495,
3,K10,162559,
3,K11,160418,
3,K12,605854,
3,K13,634470,
3,K14,442101,
3,K15,400091,
3,K16,614708,
3,K17,492853,
3,K18,383565,
3,K19,354759,
3,K20,683735,
3,K21,639915,
3,K22,687921,
3,K23,686347,
3,K24,684249,
3,L01,676929,
3,L02,250752,
3,L03,580778,
3,L04,391672,
3,L05,421236,
3,L06,353789,
3,L07,345156,
3,L08,425516,
3,L09,345538,
3,L10,298754,
3,L11,198716,
3,L12,331936,
3,L13,37589,
3,L14,168143,
3,L15,613986,
3,L16,233683,
3,L17,615230,
3,L18,690534,
3,L19,637504,
3,L20,332169,
3,L21,361131,
3,L22,573381,
3,L23,389496,
3,L24,684775,
3,M01,687918,
3,M02,650492,
3,M03,95861,
3,M04,172794,
3,M05,666860,
3,M06,445630,
3,M07,376421,
3,M08,314431,
3,M09,348974,
3,M10,179533,
3,M11,263423,
3,M12,538733,
3,M13,605075,
3,M14,601533,
3,M15,607798,
3,M16,471874,
3,M17,581924,
3,M18,417290,
3,M19,610152,
3,M20,401288,
3,M21,462794,
3,M22,360137,
3,M23,686867,
3,M24,688443,
3,N01,682688,
3,N02,655865,
3,N03,638523,
3,N04,369667,
3,N05,525391,
3,N06,534498,
3,N07,345838,
3,N08,398363,
3,N09,267939,
3,N10,571956,
3,N11,575127,
3,N12,378469,
3,N13,356401,
3,N14,664330,
3,N15,594931,
3,N16,318169,
3,N17,301278,
3,N18,72891,
3,N19,455003,
3,N20,550694,
3,N21,583967,
3,N22,475517,
3,N23,686866,
3,N24,692107,
3,O01,687387,
3,O02,640046,
3,O03,471280,
3,O04,673006,
3,O05,695770,
3,O06,624813,
3,O07,557199,
3,O08,688964,
3,O09,684258,
3,O10,684252,
3,O11,683207,
3,O12,688966,
3,O13,696302,
3,O14,696304,
3,O15,679021,
3,O16,684256,
3,O17,685306,
3,O18,691059,
3,O19,689686,
3,O20,685308,
3,O21,645388,
3,O22,681953,
3,O23,674304,
3,O24,685836,
3,P01,697869,
3,P02,689496,
3,P03,691062,
3,P04,681106,
3,P05,686347,
3,P06,687397,
3,P07,682688,
3,P08,682245,
3,P09,688972,
3,P10,683731,
3,P11,696822,
3,P12,692638,
3,P13,683727,
3,P14,685311,
3,P15,679022,
3,P16,690016,
3,P17,673785,
3,P18,683211,
3,P19,690036,
3,P20,683736,
3,P21,692105,
3,P22,675879,
3,P23,682164,
3,P24,687392,

,,PltRpt=1 Group=1 new alamar blue(1) De=1st Ex=Top Em=Top Wdw=N/A (14),
Plate,Well,Signal,
4,A01,672718,
4,A02,676891,
4,A03,681099,
4,A04,683184,
4,A05,678474,
4,A06,688965,
4,A07,684232,
4,A08,692100,
4,A09,592624,
4,A10,691565,
4,A11,691554,
4,A12,696797,
4,A13,685286,
4,A14,694709,
4,A15,681100,
4,A16,681094,
4,A17,681617,
4,A18,686332,
4,A19,681617,
4,A20,682668,
4,A21,688420,
4,A22,684757,
4,A23,685813,
4,A24,687372,
4,B01,592434,
4,B02,673133,
4,B03,687893,
4,B04,413274,
4,B05,634614,
4,B06,601547,
4,B07,318203,
4,B08,661604,
4,B09,586443,
4,B10,593189,
4,B11,326819,
4,B12,603758,
4,B13,683710,
4,B14,562045,
4,B15,596288,
4,B16,677627,
4,B17,681096,
4,B18,671641,
4,B19,670366,
4,B20,681089,
4,B21,570197,
4,B22,619050,
4,B23,687381,
4,B24,684243,
4,C01,686850,
4,C02,641959,
4,C03,230482,
4,C04,234795,
4,C05,432205,
4,C06,476695,
4,C07,651900,
4,C08,358786,
4,C09,647877,
4,C10,325710,
4,C11,227769,
4,C12,641209,
4,C13,546544,
4,C14,651708,
4,C15,598907,
4,C16,639117,
4,C17,653480,
4,C18,672731,
4,C19,424902,
4,C20,640810,
4,C21,537186,
4,C22,575702,
4,C23,654303,
4,C24,686847,
4,D01,637454,
4,D02,489979,
4,D03,486393,
4,D04,464140,
4,D05,422550,
4,D06,329703,
4,D07,284087,
4,D08,260694,
4,D09,374497,
4,D10,351570,
4,D11,269189,
4,D12,210591,
4,D13,414769,
4,D14,273464,
4,D15,358984,
4,D16,202480,
4,D17,630727,
4,D18,473175,
4,D19,349627,
4,D20,250080,
4,D21,213471,
4,D22,317322,
4,D23,662838,
4,D24,694186,
4,E01,684757,
4,E02,565942,
4,E03,217486,
4,E04,176067,
4,E05,269472,
4,E06,281388,
4,E07,250144,
4,E08,308998,
4,E09,279028,
4,E10,162914,
4,E11,318711,
4,E12,615671,
4,E13,584983,
4,E14,324770,
4,E15,310943,
4,E16,328105,
4,E17,310634,
4,E18,514719,
4,E19,365377,
4,E20,514483,
4,E21,509090,
4,E22,619571,
4,E23,481209,
4,E24,674817,
4,F01,659119,
4,F02,535689,
4,F03,549324,
4,F04,320020,
4,F05,369533,
4,F06,371116,
4,F07,283503,
4,F08,322541,
4,F09,170362,
4,F10,431894,
4,F11,513375,
4,F12,351950,
4,F13,313196,
4,F14,174333,
4,F15,480995,
4,F16,290267,
4,F17,541990,
4,F18,286431,
4,F19,465744,
4,F20,397175,
4,F21,493523,
4,F22,547312,
4,F23,675610,
4,F24,686855,
4,G01,666186,
4,G02,553789,
4,G03,227300,
4,G04,219312,
4,G05,500327,
4,G06,342361,
4,G07,249231,
4,G08,511111,
4,G09,356061,
4,G10,252461,
4,G11,115207,
4,G12,314134,
4,G13,349921,
4,G14,339660,
4,G15,382537,
4,G16,450079,
4,G17,369195,
4,G18,354552,
4,G19,314017,
4,G20,301800,
4,G21,458459,
4,G22,399035,
4,G23,682021,
4,G24,683189,
4,H01,441954,
4,H02,213873,
4,H03,315542,
4,H04,255317,
4,H05,404639,
4,H06,250007,
4,H07,252866,
4,H08,347853,
4,H09,267447,
4,H10,484717,
4,H11,372693,
4,H12,301964,
4,H13,313929,
4,H14,203114,
4,H15,330186,
4,H16,288399,
4,H17,442721,
4,H18,369126,
4,H19,342964,
4,H20,536020,
4,H21,305620,
4,H22,429369,
4,H23,435821,
4,H24,657230,
4,I01,682667,
4,I02,518733,
4,I03,242404,
4,I04,242653,
4,I05,218091,
4,I06,295497,
4,I07,277455,
4,I08,277876,
4,I09,244860,
4,I10,217832,
4,I11,191359,
4,I12,288071,
4,I13,327334,
4,I14,341270,
4,I15,322109,
4,I16,455252,
4,I17,373424,
4,I18,306281,
4,I19,315461,
4,I20,352900,
4,I21,367641,
4,I22,366702,
4,I23,527193,
4,I24,687381,
4,J01,437565,
4,J02,457382,
4,J03,396838,
4,J04,242878,
4,J05,203106,
4,J06,315465,
4,J07,319857,
4,J08,215073,
4,J09,220716,
4,J10,353331,
4,J11,379949,
4,J12,418127,
4,J13,287586,
4,J14,448929,
4,J15,366204,
4,J16,302484,
4,J17,295929,
4,J18,520660,
4,J19,336919,
4,J20,342445,
4,J21,204884,
4,J22,322653,
4,J23,391732,
4,J24,451660,
4,K01,691035,
4,K02,631384,
4,K03,221522,
4,K04,226047,
4,K05,547232,
4,K06,559982,
4,K07,416795,
4,K08,325557,
4,K09,497093,
4,K10,181899,
4,K11,143666,
4,K12,355500,
4,K13,375077,
4,K14,377426,
4,K15,320850,
4,K16,399843,
4,K17,501918,
4,K18,347788,
4,K19,360012,
4,K20,411043,
4,K21,456709,
4,K22,612929,
4,K23,684231,
4,K24,685282,
4,L01,445865,
4,L02,154795,
4,L03,484444,
4,L04,334564,
4,L05,381139,
4,L06,352570,
4,L07,447868,
4,L08,325712,
4,L09,350610,
4,L10,447104,
4,L11,264431,
4,L12,369468,
4,L13,38593,
4,L14,276393,
4,L15,379625,
4,L16,223972,
4,L17,585437,
4,L18,440211,
4,L19,354814,
4,L20,411865,
4,L21,260365,
4,L22,366346,
4,L23,371132,
4,L24,565780,
4,M01,686334,
4,M02,533107,
4,M03,188519,
4,M04,203069,
4,M05,328989,
4,M06,357773,
4,M07,290761,
4,M08,344781,
4,M09,293837,
4,M10,211430,
4,M11,161073,
4,M12,258664,
4,M13,438374,
4,M14,352350,
4,M15,529591,
4,M16,372113,
4,M17,370603,
4,M18,337369,
4,M19,355542,
4,M20,376121,
4,M21,331086,
4,M22,537044,
4,M23,561432,
4,M24,677953,
4,N01,689470,
4,N02,442195,
4,N03,332591,
4,N04,430367,
4,N05,377858,
4,N06,519689,
4,N07,337659,
4,N08,334040,
4,N09,545628,
4,N10,369701,
4,N11,488292,
4,N12,609289,
4,N13,432501,
4,N14,431897,
4,N15,420350,
4,N16,544660,
4,N17,557758,
4,N18,73471,
4,N19,438866,
4,N20,342922,
4,N21,404616,
4,N22,364601,
4,N23,463355,
4,N24,686851,
4,O01,688424,
4,O02,650349,
4,O03,542749,
4,O04,647912,
4,O05,552050,
4,O06,594652,
4,O07,663213,
4,O08,656998,
4,O09,576671,
4,O10,539635,
4,O11,605442,
4,O12,670052,
4,O13,622050,
4,O14,689992,
4,O15,691238,
4,O16,668729,
4,O17,686854,
4,O18,678472,
4,O19,596088,
4,O20,631447,
4,O21,639978,
4,O22,678478,
4,O23,683193,
4,O24,690520,
4,P01,684238,
4,P02,680572,
4,P03,589141,
4,P04,680991,
4,P05,691042,
4,P06,686329,
4,P07,688422,
4,P08,694704,
4,P09,691041,
